Regular Array,41,35,1,1,0,1,1,0
Generic List,52,51,1,1,0,1,1,0
ArrayList,859,100,17,4,0,17,4,0
Regular Array,42,32,1,1,0,1,1,0
Generic List,57,56,1,1,0,1,1,0
ArrayList,837,83,17,4,0,17,4,0
Regular Array,42,35,1,1,0,1,1,0
Generic List,54,47,1,1,0,1,1,0
ArrayList,826,89,17,4,0,17,4,0
Regular Array,41,42,1,1,0,1,1,0
Generic List,51,58,1,1,0,1,1,0
ArrayList,839,88,17,4,0,17,4,0
Regular Array,43,30,1,1,0,1,1,0
Generic List,59,54,1,1,0,1,1,0
ArrayList,807,89,17,4,0,17,4,0
Regular Array,42,34,1,1,0,1,1,0
Generic List,58,56,1,1,0,1,1,0
ArrayList,845,90,17,4,0,17,4,0
Regular Array,51,35,1,1,0,1,1,0
Generic List,49,51,1,1,0,1,1,0
ArrayList,784,96,17,4,0,17,4,0
Regular Array,42,31,1,1,0,1,1,0
Generic List,55,47,1,1,0,1,1,0
ArrayList,795,99,17,4,0,17,4,0
Regular Array,40,38,1,1,0,1,1,0
Generic List,56,50,1,1,0,1,1,0
ArrayList,878,132,17,4,0,17,4,0
Regular Array,65,55,1,1,0,1,1,0
Generic List,118,94,1,1,0,1,1,0
ArrayList,1313,148,17,4,0,17,4,0
Regular Array,61,57,1,1,0,1,1,0
Generic List,80,59,1,1,0,1,1,0
ArrayList,1041,116,17,4,0,17,4,0
Regular Array,54,47,1,1,0,1,1,0
Generic List,95,77,1,1,0,1,1,0
ArrayList,1022,113,17,4,0,17,4,0
Regular Array,41,35,1,1,0,1,1,0
Generic List,50,48,1,1,0,1,1,0
ArrayList,835,86,17,4,0,17,4,0
Regular Array,49,32,1,1,0,1,1,0
Generic List,50,54,1,1,0,1,1,0
ArrayList,982,119,17,4,0,17,4,0
Regular Array,53,33,1,1,0,1,1,0
Generic List,49,51,1,1,0,1,1,0
ArrayList,920,120,17,4,0,17,4,0
Regular Array,65,55,1,1,0,1,1,0
Generic List,63,46,1,1,0,1,1,0
ArrayList,1026,132,17,4,0,17,4,0
Regular Array,40,39,1,1,0,1,1,0
Generic List,96,73,1,1,0,1,1,0
ArrayList,842,83,17,4,0,17,4,0
Regular Array,41,33,1,1,0,1,1,0
Generic List,62,56,1,1,0,1,1,0
ArrayList,826,82,17,4,0,17,4,0
Regular Array,66,61,1,1,0,1,1,0
Generic List,108,77,1,1,0,1,1,0
ArrayList,890,87,17,4,0,17,4,0
Regular Array,46,38,1,1,0,1,1,0
Generic List,98,88,1,1,0,1,1,0
ArrayList,953,97,17,4,0,17,4,0
Regular Array,56,51,1,1,0,1,1,0
Generic List,67,58,1,1,0,1,1,0
ArrayList,957,112,17,4,0,17,4,0
Regular Array,59,42,1,1,0,1,1,0
Generic List,67,52,1,1,0,1,1,0
ArrayList,881,91,17,4,0,17,4,0
Regular Array,43,34,1,1,0,1,1,0
Generic List,54,56,1,1,0,1,1,0
ArrayList,827,84,17,4,0,17,4,0
Regular Array,41,35,1,1,0,1,1,0
Generic List,54,53,1,1,0,1,1,0
ArrayList,986,99,17,4,0,17,4,0
Regular Array,41,36,1,1,0,1,1,0
Generic List,56,54,1,1,0,1,1,0
ArrayList,832,91,17,4,0,17,4,0
Regular Array,42,31,1,1,0,1,1,0
Generic List,53,47,1,1,0,1,1,0
ArrayList,827,80,17,4,0,17,4,0
Regular Array,44,40,1,1,0,1,1,0
Generic List,62,50,1,1,0,1,1,0
ArrayList,811,81,17,4,0,17,4,0
Regular Array,41,34,1,1,0,1,1,0
Generic List,61,50,1,1,0,1,1,0
ArrayList,839,80,17,4,0,17,4,0
Regular Array,40,32,1,1,0,1,1,0
Generic List,53,47,1,1,0,1,1,0
ArrayList,815,87,17,4,0,17,4,0
Regular Array,47,39,1,1,0,1,1,0
Generic List,52,47,1,1,0,1,1,0
ArrayList,828,81,17,4,0,17,4,0
Regular Array,56,45,1,1,0,1,1,0
Generic List,85,82,1,1,0,1,1,0
ArrayList,811,96,17,4,0,17,4,0
Regular Array,46,36,1,1,0,1,1,0
Generic List,50,75,1,1,0,1,1,0
ArrayList,872,115,17,4,0,17,4,0
Regular Array,41,31,1,1,0,1,1,0
Generic List,53,51,1,1,0,1,1,0
ArrayList,808,82,17,4,0,17,4,0
